Iron Man,The Incredible Hulk,Iron Man 2,Thor,Captain America: The First Avenger,The Avengers,Iron Man 3,Thor: The Dark World,Captain America: The Winter Soldier,Guardians of the Galaxy,Avengers: Age of Ultron,Ant-Man,Captain America: Civil War,Doctor Strange,Guardians of the Galaxy Vol. 2,Spider-Man: Homecoming,Thor: Ragnarok,Black Panther,Avengers: Infinity War,Ant-Man and the Wasp,Captain Marvel,Avengers: End Game,Spider-Man: Far From Home,Black Widow,Shang-Chi and the Legend of the Ten Rings,Eternals,Spider-Man: No Way Home,character_name
77:15:00,:30,61:15:00,,,31:45:00,62:15:00,,,,27:15:00,,37:15:00,,,8:00,,,17:00,,,34:45:00,:30,,,,,Iron Man
23:15,,17:30,,,4:30,18:00,,,,,,,,,:45,,,1:30,,,4:15,,,,,,Pepper Potts
22:00,,,,,,,,,,,,,,,,,,,,,,x:00,,,,,Iron Monger
10:45,,,,,,:15,,,,,,,,,,,,,,,,,,,,,Professor Ho Yinsen
8:15,,18:45,,,,,,,,,,,,,,,,,,,,,,,,,"Lt. Col. James ""Rhodey"" Rhodes"
6:00,,,,,,,,,,,,,,,,,,,,,,,,,,,Raza
3:45,,2:00,4:00,,9:00,,,,,,,,,,,,,,,2:45,,,,,,,Agent Phil Coulson
3:45,,1:30,,,,,,,,,,,,,,,,,,,,,,,,,Christine Everhart
1:45,,,,,,,,,,,,,,,,,,,,,,,,,,,Abu Bakaar
1:15,,,,,,,,,,,,,,,6:00,,,,,,:45,7:30,,,,3:45,"Harold ""Happy"" Hogan"
:45,,,,,,,,,,,,,,,,,,,,,,2:00,,,,,William Ginter Riva
:15,,5:30,:45,:30,18:15,,,15:30,,,,,,,,,,,,,,,,,,,Director Nick Fury
,51:45:00,,,,21:45,:45,,,,20:00,,,,,,17:15,,9:30,,:15,20:00,,,:30,,,The Hulk
,27:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,Dr. Betty Ross
,18:30,,,,,,,,,,,,,,,,,,,,,,,:30,,,The Abomination
,15:00,,,,,,,,,,,,,,,,,,,,,,,,,,General Thaddeus Ross
,7:30,,,,,,,,,,,,,,,,,,,,,,,,,,Samuel Sterns
,2:15,,,,,,,,,,,,,,,,,,,,,,,,,,Dr. Leonard Samson
,2:15,,,,,,,,,,,,,,,,,,,,,,,,,,Maj. Kathleen Sparr
,:15,,,,,,,,,,,,,,2:00,,,,,,,6:00,,,,:30,Roger Harrington
,,20:45,,,,,,,,,,,,,,,,,,,,,,,,,Whiplash
