Iron Man,The Incredible Hulk,Iron Man 2,Thor,Captain America: The First Avenger,The Avengers,Iron Man 3,Thor: The Dark World,Captain America: The Winter Soldier,Guardians of the Galaxy,Avengers: Age of Ultron,Ant-Man,Captain America: Civil War,Doctor Strange,Guardians of the Galaxy Vol. 2,Spider-Man: Homecoming,Thor: Ragnarok,Black Panther,Avengers: Infinity War,Ant-Man and the Wasp,Captain Marvel,Avengers: End Game,Spider-Man: Far From Home,Black Widow,Shang-Chi and the Legend of the Ten Rings,Eternals,Spider-Man: No Way Home,character_name,gender,race
,,,,15:30,,,,,,,,,,,,,,,,,,,,,,,Red Skull,Male,Caucasian
,,,,9:15,,,,,,,,,,,,,,,,,,,,,,,Col. Chester Phillips,Male,Caucasian
,,,,8:30,,,,,,,,,,,,,,,,,,,,,,,Dr. Abraham Erskine,Male,Caucasian
,,,,8:15,,,,2:15,,,,,,,,,,,,,,,,,,,Dr. Arnim Zola,Male,Caucasian
,,,,8:00,,,,,,,,,,,,,,,,,,,,,,,"Sgt. James ""Bucky"" Barnes",Male,Caucasian
,,,,2:15,,,,,,,,,,,,,,,,,,,,,,,Heinz Kruger,Male,Caucasian
,,,,1:45,,,,,,,,,,,,,,,,,,,,,,,"Sgt. Timothy ""Dum Dum"" Dugan",Male,Caucasian
,,,,1:45,,,,,,,,,,,,,,,,,,,,,,,Pvt. Gabe Jones,Male,Black
,,,,1:30,,,,,,,,,,,,,,,,,,,,,,,Pvt. Jim Morita,Male,Asian
,,,,1:30,,,,,,,,,,,,,,,,,,,,,,,Pvt. James Montgomery Fallsworth,Male,Caucasian
,,,,1:30,,,,,,,,,,,,,,,,,,,,,,,Pvt. Jacques Dernier,Male,Caucasian
,,,,,5:30,,,3:15,,,,,,,,,,,,,,,,,,,Agent Maria Hill,Female,Caucasian
,,,,,2:30,,,,:45,,,,,,,,,,,,,,,,,,The Other,Male,Alien
,,,,,1:45,,,,,,,,,,,,,,,,,,,,,,Gen. Georgi Luchkov,Male,Caucasian
,,,,,1:00,,,,,,,,,,,,,,,,,,,,,,Councilwoman Malick,Female,Middle Eastern
,,,,,1:00,,,:15,,,,,,,,,,,,,,,,,,,Councilwoman Hawley,Female,Caucasian
,,,,,:15,,,,1:00,:15,,,,,,,,31:00:00,,,12:15,,,,,,Thanos,Male,Alien
,,,,,,12:00,,,,,,,,,,,,,,,,,,,,,Aldrich Killian,Male,Caucasian
,,,,,,9:45,,,,2:30,,7:15,,,,,,2:45,,:15,,,,,,,Iron Patriot,Male,Caucasian
,,,,,,8:45,,,,,,,,,,,,,,,,,,,,,Dr. Maya Hansen,Female,Caucasian
,,,,,,7:30,,,,,,,,,,,,,,,,,,6:15,,,"""The Mandarin""",Male,Asian
,,,,,,6:15,,,,,,,,,,,,,,,:15,,,,,,Harley Keener,Male,Caucasian
,,,,,,6:00,,,,,,,,,,,,,,,,,,,,,Eric Savin,Male,Caucasian
,,,,,,3:00,,,,,,,,,,,,,,,,,,,,,Ellen Brandt,Female,Caucasian
,,,,,,2:00,,,,,,,,,,,,,,,,,,,,,President Matthew Ellis,Male,Caucasian
,,,,,,1:00,,,,,,,,,,,,,,,,,,,,,Vice-President Rodriguez,Male,Hispanic
,,,,,,,,,,,,,,,,,,,,,,,,,1:00,,Ben,Male,Caucasian
,,,,,,,,1:15,,:30,,,,,,,,,,,,,,,,,Dr. List,Male,Caucasian
,,,,,,,8:45,,,,,,,,,,,,,,,,,,,,Malekith,Male,Dark Elf
,,,,,,,6:15,,,,,,,,,,,,,,,,,,,,Algrim,Male,Alien
,,,,,,,6:00,,,,,,,,,,,,,,,,,,,,Ian Boothby,Male,Caucasian
,,,,,,,2:45,,,,,,,,,,,,,,,,,,,,Richard,Male,Caucasian
,,,,,,,1:15,,2:30,,,,,,,,,,,,,,,,,,The Collector,Male,Alien
,,,,,,,1:00,,1:30,,,,,,,,,,,,,,,,,,Carina,Female,Alien
,,,,,,,,14:15,,:45,2:45,10:15,,,,,,2:45,,,4:30,,,,,,Falcon,Male,Black
,,,,,,,,13:15,,,:15,22:00,,,,,:45,2:00,,,2:15,,,,,,Winter Soldier,Male,Caucasian
,,,,,,,,12:45,,,,,,,,,,,,,:45,,,,,,Alexander Pierce,Male,Caucasian
,,,,,,,,6:15,,,,2:15,,,,,,,,,,,,,,,Brock Rumlow,Male,Caucasian
,,,,,,,,2:30,,,,,,,,,,,,,,,,,,,Agent Sharon Carter,Female,Caucasian
,,,,,,,,2:15,,:15,:45,,,,,,,,,,1:00,,,,,,Peggy Carter,Female,Caucasian
,,,,,,,,2:00,,,,,,,,,,,,,,,,,,,Jack Rollins,Male,Caucasian
,,,,,,,,1:45,,,,,,,,,,,,,,,,,,,Georges Batroc,Male,Caucasian
,,,,,,,,1:15,,1:30,,,,,,,,,,,,,,,,,Baron Wolfgang von Strucker,Male,Caucasian
,,,,,,,,1:00,,,,,,,,,,,,,,,,,,,Councilman Singh,Male,Asian
,,,,,,,,1:00,,,,,,,,,,,,,,,,,,,Councilman Rockwell,Male,Caucasian
,,,,,,,,1:00,,,,,,,,,,,,,,,,,,,Councilman Yen,Male,Asian
,,,,,,,,1:00,,:30,,,,,,,,,,,,,,,,,Cameron Klein,Male,Caucasian
,,,,,,,,:15,,12:00,,10:45,,,,,,9:00,,,2:15,,,,,,Wanda Maximoff,Female,Caucasian
,,,,,,,,:15,,10:00,,,,,,,,,,,,,,,,,Pietro Maximoff,Male,Caucasian
,,,,,,,,,46:45:00,,,,,35:45:00,,,,10:15,,,3:00,,,,,,Star-Lord,Male,Caucasian
,,,,,,,,,31:00:00,,,,,24:00:00,,,,20:00,,,4:45,,,,,,Gamora,Female,Alien
,,,,,,,,,19:30,,,,,19:45,,,,6:15,,,8:15,,,,,,Rocket,Male,Alien
,,,,,,,,,18:00,,,,,16:30,,,,5:45,,,1:00,,,,,,Drax,Male,Alien
,,,,,,,,,14:45,,,,,,,,,,,,,,,,,,Groot,Male,Alien
,,,,,,,,,7:45,,,,,,,,,,,1:30,,,,,,,Ronan,Male,Alien
,,,,,,,,,6:00,,,,,16:15,,,,,,,,,,,,,Yondu Udonta,Male,Alien
,,,,,,,,,4:30,,,,,10:30,,,,3:15,,,16:00,,,,,,Nebula,Female,Alien
,,,,,,,,,3:00,,,,,,,,,,,,,,,,,,Rhomann Dey,Male,Caucasian
,,,,,,,,,2:30,,,,,,,,,,,,,,,,,,Nova Prime Irani Rael,Female,Middle Eastern
,,,,,,,,,2:15,,,,,,,,,,,3:15,,,,,,,Korath,Male,Black
,,,,,,,,,1:45,,,,,4:45,,,,,,,,,,,,,Kraglin Obfonteri,Male,Alien
,,,,,,,,,1:30,,,,,1:30,,,,,,,,,,,,,Meredith Quill,Female,Caucasian
,,,,,,,,,:45,,,,,14:00,,,,4:00,,,1:00,,,,,,Groot II,Male,Alien
,,,,,,,,,:45,,,,,,,,,,,,,,,,,,Denaarian Saal,Male,Alien
,,,,,,,,,,,,,,,,,,,,,:15,,,,,,Edwin Jarvis,Male,Caucasian
,,,,,,,,,,,,,,,,,,,,,,,,,,1:00,Daredevil,Male,Caucasian
,,,,,,,,,,17:00,,,,,,,,,,,,,,,,,Ultron,Male,Alien
,,,,,,,,,,6:15,,7:15,,,,,,10:00,,,,,,,,,Vision,Male,Alien
,,,,,,,,,,3:45,,,,,,,,,,,:45,,,,,,Laura Barton,Female,Caucasian
,,,,,,,,,,3:15,,,,,,,,,,,,,,,,,Dr. Helen Cho,Female,Asian
,,,,,,,,,,3:00,,,,,,,,:45,,,:15,,,,,,Maria Hill,Female,Caucasian
,,,,,,,,,,3:00,,,,,,,,1:00,,,:15,:30,,,,,Nick Fury,Male,Black
,,,,,,,,,,2:45,,,,,,,7:15,,,,,,,,,,Ulysses Klauë,Male,Black
,,,,,,,,,,,50:30:00,5:30,,,,,,,42:30:00,,13:15,,,,,,Scott Lang,Male,Caucasian
,,,,,,,,,,,14:30,,,,,,,,,,,,,,,,Darren Cross,Male,Caucasian
,,,,,,,,,,,,2:45,,,,,,1:00,,,:15,,,,,,Secretary Thaddeus Ross,Male,Caucasian
,,,,,,,,,,,24:45:00,,,,,,,,23:45,,:30,,,,,,Dr. Hank Pym,Male,Caucasian
,,,,,,,,,,,15:45,,,,,,,,35:00:00,,1:15,,,,,,Hope van Dyne,Female,Caucasian
,,,,,,,,,,,7:00,,,,,,,,8:30,,,,,,,,Luis,Male,Hispanic
,,,,,,,,,,,4:30,,,,,,,,7:00,,1:00,,,,,,Cassie Lang,Female,Caucasian
,,,,,,,,,,,4:30,,,,,,,,1:30,,,,,,,,Officer Jim Paxton,Male,Caucasian
,,,,,,,,,,,2:45,,,,,,,,2:15,,,,,,,,Dave,Male,Black
,,,,,,,,,,,2:45,,,,,,,,2:15,,,,,,,,Kurt,Male,Caucasian
,,,,,,,,,,,2:15,,,,,,,,1:45,,,,,,,,Maggie Lang,Female,Caucasian
,,,,,,,,,,,2:15,,,,,,,,,,,,,,,,Mitchell Carson,Male,Caucasian
,,,,,,,,,,,1:00,,,,,,,,,,,,,,,,Gale,Male,Caucasian
,,,,,,,,,,,:30,,,,,,,,9:15,,:15,,,,,,Janet van Dyne,Female,Caucasian
,,,,,,,,,,,,11:30,,,,,,,,,,,,,,,Black Panther,Male,Black
,,,,,,,,,,,,10:30,,,,,,,,,,,,,,,Helmut Zemo,Male,Caucasian
,,,,,,,,,,,,5:00,,,,,,,,,,,,,,,Sharon Carter,Female,Caucasian
,,,,,,,,,,,,2:15,,,,,,,,,,,,,,,Maria Stark,Female,Caucasian
,,,,,,,,,,,,1:30,,,,,5:00,,,,,,,,,,King T'Chaka,Male.,Black
,,,,,,,,,,,,1:15,,,,,,,,,,,,,,,Everett Ross,Male,Caucasian
,,,,,,,,,,,,1:00,,,4:00,,,,,,:15,3:30,,,,9:30,May Parker,Female,Caucasian
,,,,,,,,,,,,:30,,,,,2:15,:15,,,,,,,,,Ayo,Female,Black
,,,,,,,,,,,,,73:30:00,,,3:00,,11:15,,,1:15,,,,,12:30,Doctor Strange,Male,Caucasian
,,,,,,,,,,,,,17:45,,,,,,,,,,,,,,Karl Mordo,Male,Black
,,,,,,,,,,,,,17:15,,,,,,,,3:30,,,,,,The Ancient One,Female,Asian
,,,,,,,,,,,,,12:45,,,,,,,,,,,,,,Kaecilius,Male,Caucasian
,,,,,,,,,,,,,12:45,,,,,,,,,,,,,,Dr. Christine Palmer,Female,Caucasian
,,,,,,,,,,,,,7:00,,,,,3:30,,,:45,,,2:00,,:45,Wong,Male,Asian
,,,,,,,,,,,,,3:45,,,,,,,,,,,,,,Lucian,Male,Black
,,,,,,,,,,,,,2:45,,,,,,,,,,,,,,Jonathan Pangborn,Male,Caucasian
,,,,,,,,,,,,,2:00,,,,,,,,,,,,,,Dormammu,Male,Alien
,,,,,,,,,,,,,1:30,,,,,,,,,,,,,,Dr. Nicodemus West,Male,Caucasian
,,,,,,,,,,,,,,17:00,,,,,,,,,,,,,Ego,Male,Alien
,,,,,,,,,,,,,,11:00,,,,5:45,,,:45,,,,,,Mantis,Female,Asian
,,,,,,,,,,,,,,4:15,,,,,,,,,,,,,Taserface,Male,Alien
,,,,,,,,,,,,,,3:30,,,,,,,,,,,,,Ayesha,Female,Alien
,,,,,,,,,,,,,,1:30,,,,,,,,,,,,,Stakar Ogord,Male,Alien
,,,,,,,,,,,,,,1:00,,,,,,,,,,,,,Martinex T'Naga,Male,Alien
,,,,,,,,,,,,,,:15,,,,,,,,,,,,,Aleta Ogord,Female.,Alien
,,,,,,,,,,,,,,:15,,,,,,,,,,,,,Charlie-27,Male,Alien
,,,,,,,,,,,,,,x:00,,,,,,,,,,,,,Mainframe,Male,Caucasian
,,,,,,,,,,,,,,x:00,,,,,,,,,,,,,Krugarr,Male,Alien
,,,,,,,,,,,,,,,19:00,,,,,,,,,,,,Vulture,Male,Caucasian
,,,,,,,,,,,,,,,13:45,,,:15,,,:15,14:30,,,,18:30,Ned Leeds,Male,Caucasian
,,,,,,,,,,,,,,,9:45,,,,,,,,,,,,Liz Toomes,Female,Caucasian
,,,,,,,,,,,,,,,4:30,,,,,,,,,,,,The Shocker,Male,Black
,,,,,,,,,,,,,,,3:45,,,,,,,,,,,,Tinkerer,Male,Caucasian
,,,,,,,,,,,,,,,2:45,,,,,,,19:30,,,,,Michelle Jones,Female,Black
,,,,,,,,,,,,,,,2:30,,,,,,,,,,,,Aaron Davis,Male,Black
,,,,,,,,,,,,,,,2:30,,,,,,,,,,,,The Shocker,Male,Black
,,,,,,,,,,,,,,,2:15,,,,,,,5:45,,,,:45,Flash Thompson,Male,Caucasian
,,,,,,,,,,,,,,,1:15,,,,,,,,,,,,Mac Gargan,Male,Hispanic
,,,,,,,,,,,,,,,1:15,,,,,,,9:15,,,,:15,Betty Brant,Female,Caucasian
,,,,,,,,,,,,,,,1:00,,,,,,,,,,,,Ann Marie Hoag,Female,Caucasian
,,,,,,,,,,,,,,,1:00,,,,,,,:45,,,,,Jason Ionello,Male,Hispanic
,,,,,,,,,,,,,,,,14:15,,,,,2:15,,,,,,Valkyrie,Female,Black
,,,,,,,,,,,,,,,,12:30,,,,,,,,,,,Hela,Female,Caucasian
,,,,,,,,,,,,,,,,6:45,,,,,,,,,,,Skurge,Male,Caucasian
,,,,,,,,,,,,,,,,5:30,,,,,,,,,,,The Grandmaster,Male,Asian
,,,,,,,,,,,,,,,,4:00,,,,,1:00,,,,,,Korg,Male,Alien
,,,,,,,,,,,,,,,,3:00,,,,,,,,,,,Surtur,Male,Alien
,,,,,,,,,,,,,,,,2:00,,,,,,,,,,,Topaz,Female,Alien
,,,,,,,,,,,,,,,,1:45,,,,,,,,,,,Fenriswolf,Male,Alien
,,,,,,,,,,,,,,,,1:30,,,,,:30,,,,,,Miek,Male,Alien
,,,,,,,,,,,,,,,,,48:00:00,3:30,,,1:45,,,,,,Black Panther,Male,Black
,,,,,,,,,,,,,,,,,22:15,,,,,,,,,,"Erik ""Killmonger"" Stevens",Male,Black
,,,,,,,,,,,,,,,,,16:45,,,,,,,,,,Nakia,Female,Black
,,,,,,,,,,,,,,,,,14:30,:45,,,1:15,,,,,,Princess Shuri,Female,Black
,,,,,,,,,,,,,,,,,12:45,2:45,,,1:45,,,,,,Okoye,Female,Black
,,,,,,,,,,,,,,,,,12:00,,,,,,,,,,Agent Everett Ross,Male,Caucasian
,,,,,,,,,,,,,,,,,8:15,,,,,,,,,,Zuri,Female,Black
,,,,,,,,,,,,,,,,,7:15,,,,,,,,,,W'Kabi,Male,Black
,,,,,,,,,,,,,,,,,6:45,,,,,,,,,,Ramonda,Female,Black
,,,,,,,,,,,,,,,,,5:45,1:00,,,:15,,,,,,M'Baku,Male,Black
,,,,,,,,,,,,,,,,,4:15,,,,,,,,,,N'Jobu,Male,Black
,,,,,,,,,,,,,,,,,1:00,,,,,,,,,,Xoliswa,Female,Black
