Iron Man,The Incredible Hulk,Iron Man 2,Thor,Captain America: The First Avenger,The Avengers,Iron Man 3,Thor: The Dark World,Captain America: The Winter Soldier,Guardians of the Galaxy,Avengers: Age of Ultron,Ant-Man,Captain America: Civil War,Doctor Strange,Guardians of the Galaxy Vol. 2,Spider-Man: Homecoming,Thor: Ragnarok,Black Panther,Avengers: Infinity War,Ant-Man and the Wasp,Captain Marvel,Avengers: End Game,Spider-Man: Far From Home,Black Widow,Shang-Chi and the Legend of the Ten Rings,Eternals,Spider-Man: No Way Home,character_name,gender,race,total_time_mins
0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,William Ginter Riva,Male,Caucasian,2.75
0.25,0.0,5.5,0.75,0.5,18.25,0.0,0.0,15.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Director Nick Fury,Male,Black,40.75
0.0,96.0,0.0,0.0,0.0,21.75,0.75,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,17.25,0.0,9.5,0.0,0.25,20.0,0.0,0.0,0.5,0.0,0.0,The Hulk,Male,Caucasian,186.0
0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Dr. Betty Ross,Female,Caucasian,27.0
0.0,18.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,The Abomination,Male,Caucasian,19.0
0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,General Thaddeus Ross,Male,Caucasian,15.0
0.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Samuel Sterns,Male,Caucasian,7.5
0.0,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Dr. Leonard Samson,Male,Caucasian,2.25
0.0,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Maj. Kathleen Sparr,Female,Caucasian,2.25
0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.5,Roger Harrington,Male,Caucasian,8.75
0.0,0.0,20.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Whiplash,Male,Caucasian,20.75
0.0,0.0,16.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Justin Hammer,Male,Caucasian,16.5
0.0,0.0,9.25,0.0,0.0,69.0,0.0,0.0,69.0,0.0,18.0,0.0,12.0,0.0,0.0,0.0,0.25,0.0,5.0,0.0,0.5,16.0,0.0,95.0,0.0,0.0,0.0,Black Widow,Female,Caucasian,294.0
0.0,0.0,4.25,0.0,0.0,0.0,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Happy Hogan,Male,Caucasian,10.5
0.0,0.0,2.25,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Senator Stern,Male,Caucasian,2.75
0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,Howard Stark,Male,Caucasian,11.75
0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Anton Vanko,Male,Caucasian,1.25
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,0.0,0.0,91.0,0.0,0.0,7.25,0.0,0.0,3.0,97.0,0.0,0.0,0.0,128.0,Peter Parker,Male,Caucasian,334.75
0.0,0.0,0.0,58.0,0.0,18.0,0.0,35.0,0.0,0.0,13.25,0.0,0.0,0.75,0.0,0.0,103.0,0.0,15.25,0.0,0.0,21.25,0.0,0.0,0.0,0.0,0.0,Thor,Male,Caucasian,264.5
0.0,0.0,0.0,21.25,0.0,21.5,0.0,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,0.0,3.75,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Loki,Male,Caucasian,78.5
0.0,0.0,0.0,21.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,Dr. Jane Foster,Female,Caucasian,46.25
0.0,0.0,0.0,13.75,0.0,3.0,0.0,6.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Dr. Erik Selvig,Male,Caucasian,24.25
0.0,0.0,0.0,11.25,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Odin,Male,Caucasian,24.0
0.0,0.0,0.0,8.5,0.0,0.0,0.0,8.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Darcy Lewis,Female,Caucasian,17.25
0.0,0.0,0.0,8.25,0.0,0.0,0.0,3.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sif,Female,Caucasian,11.5
0.0,0.0,0.0,7.0,0.0,0.0,0.0,2.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Volstagg,Male,Caucasian,10.0
0.0,0.0,0.0,7.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fandral,Male,Caucasian,9.25
0.0,0.0,0.0,6.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hogun,Male,Asian,8.5
0.0,0.0,0.0,4.25,0.0,0.0,0.0,4.25,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Heimdall,Male,Black,14.25
0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Laufey,Male,Alien,3.5
0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.75,0.0,0.0,0.0,0.0,0.0,Frigga,Female,Caucasian,8.75
0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Agent Jasper Sitwell,Male,Caucasian,6.5
0.0,0.0,0.0,0.5,0.0,12.75,0.0,0.0,0.0,0.0,15.0,0.0,4.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,Hawkeye,Male,Caucasian,50.5
0.0,0.0,0.0,0.0,86.0,43.0,0.0,0.0,59.0,0.0,21.75,0.25,53.0,0.0,0.0,1.0,0.0,0.0,7.25,0.0,0.5,75.0,0.0,0.0,0.0,0.0,0.0,Captain America,Male,Caucasian,346.75
0.0,0.0,0.0,0.0,17.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Agent Peggy Carter,Female,Caucasian,17.25
0.0,0.0,0.0,0.0,15.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Red Skull,Male,Caucasian,15.5
0.0,0.0,0.0,0.0,9.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Col. Chester Phillips,Male,Caucasian,9.25
