Iron Man,The Incredible Hulk,Iron Man 2,Thor,Captain America: The First Avenger,The Avengers,Iron Man 3,Thor: The Dark World,Captain America: The Winter Soldier,Guardians of the Galaxy,Avengers: Age of Ultron,Ant-Man,Captain America: Civil War,Doctor Strange,Guardians of the Galaxy Vol. 2,Spider-Man: Homecoming,Thor: Ragnarok,Black Panther,Avengers: Infinity War,Ant-Man and the Wasp,Captain Marvel,Avengers: End Game,Spider-Man: Far From Home,Black Widow,Shang-Chi and the Legend of the Ten Rings,Eternals,Spider-Man: No Way Home,character_name,gender
,,,,,1:00,,,,,,,,,,,,,,,,,,,,,,Councilwoman Malick,Female
,,,,,1:00,,,:15,,,,,,,,,,,,,,,,,,,Councilwoman Hawley,Female
,,,,,:15,,,,1:00,:15,,,,,,,,31:00:00,,,12:15,,,,,,Thanos,Male
,,,,,,12:00,,,,,,,,,,,,,,,,,,,,,Aldrich Killian,Male
,,,,,,9:45,,,,2:30,,7:15,,,,,,2:45,,:15,,,,,,,Iron Patriot,Male
,,,,,,8:45,,,,,,,,,,,,,,,,,,,,,Dr. Maya Hansen,Female
,,,,,,7:30,,,,,,,,,,,,,,,,,,6:15,,,"""The Mandarin""",Male
,,,,,,6:15,,,,,,,,,,,,,,,:15,,,,,,Harley Keener,Male
,,,,,,6:00,,,,,,,,,,,,,,,,,,,,,Eric Savin,Male
,,,,,,3:00,,,,,,,,,,,,,,,,,,,,,Ellen Brandt,Female
,,,,,,2:00,,,,,,,,,,,,,,,,,,,,,President Matthew Ellis,Male
,,,,,,1:00,,,,,,,,,,,,,,,,,,,,,Vice-President Rodriguez,Male
,,,,,,,,,,,,,,,,,,,,,,,,,1:00,,Ben,Male.
,,,,,,,,1:15,,:30,,,,,,,,,,,,,,,,,Dr. List,Male
,,,,,,,8:45,,,,,,,,,,,,,,,,,,,,Malekith,Male
,,,,,,,6:15,,,,,,,,,,,,,,,,,,,,Algrim,Male
,,,,,,,6:00,,,,,,,,,,,,,,,,,,,,Ian Boothby,Male
,,,,,,,2:45,,,,,,,,,,,,,,,,,,,,Richard,Male
,,,,,,,1:15,,2:30,,,,,,,,,,,,,,,,,,The Collector,Male
,,,,,,,1:00,,1:30,,,,,,,,,,,,,,,,,,Carina,Female
,,,,,,,,14:15,,:45,2:45,10:15,,,,,,2:45,,,4:30,,,,,,Falcon,Male
,,,,,,,,13:15,,,:15,22:00,,,,,:45,2:00,,,2:15,,,,,,Winter Soldier,Male
,,,,,,,,12:45,,,,,,,,,,,,,:45,,,,,,Alexander Pierce,Male
,,,,,,,,6:15,,,,2:15,,,,,,,,,,,,,,,Brock Rumlow,Male
,,,,,,,,2:30,,,,,,,,,,,,,,,,,,,Agent Sharon Carter,Female
,,,,,,,,2:15,,:15,:45,,,,,,,,,,1:00,,,,,,Peggy Carter,Female
,,,,,,,,2:00,,,,,,,,,,,,,,,,,,,Jack Rollins,Male.
,,,,,,,,1:45,,,,,,,,,,,,,,,,,,,Georges Batroc,Male
,,,,,,,,1:15,,1:30,,,,,,,,,,,,,,,,,Baron Wolfgang von Strucker,Male
,,,,,,,,1:00,,,,,,,,,,,,,,,,,,,Councilman Singh,Male
,,,,,,,,1:00,,,,,,,,,,,,,,,,,,,Councilman Rockwell,Male
,,,,,,,,1:00,,,,,,,,,,,,,,,,,,,Councilman Yen,Male
,,,,,,,,1:00,,:30,,,,,,,,,,,,,,,,,Cameron Klein,Male
,,,,,,,,:15,,12:00,,10:45,,,,,,9:00,,,2:15,,,,,,Wanda Maximoff,Female
,,,,,,,,:15,,10:00,,,,,,,,,,,,,,,,,Pietro Maximoff,Male
,,,,,,,,,46:45:00,,,,,35:45:00,,,,10:15,,,3:00,,,,,,Star-Lord,Male
,,,,,,,,,31:00:00,,,,,24:00:00,,,,20:00,,,4:45,,,,,,Gamora,Female
,,,,,,,,,19:30,,,,,19:45,,,,6:15,,,8:15,,,,,,Rocket,Male
,,,,,,,,,18:00,,,,,16:30,,,,5:45,,,1:00,,,,,,Drax,Male
,,,,,,,,,14:45,,,,,,,,,,,,,,,,,,Groot,Male
,,,,,,,,,7:45,,,,,,,,,,,1:30,,,,,,,Ronan,Male
,,,,,,,,,6:00,,,,,16:15,,,,,,,,,,,,,Yondu Udonta,Male
,,,,,,,,,4:30,,,,,10:30,,,,3:15,,,16:00,,,,,,Nebula,Female
,,,,,,,,,3:00,,,,,,,,,,,,,,,,,,Rhomann Dey,Male
,,,,,,,,,2:30,,,,,,,,,,,,,,,,,,Nova Prime Irani Rael,Female
,,,,,,,,,2:15,,,,,,,,,,,3:15,,,,,,,Korath,Male
,,,,,,,,,1:45,,,,,4:45,,,,,,,,,,,,,Kraglin Obfonteri,Male
,,,,,,,,,1:30,,,,,1:30,,,,,,,,,,,,,Meredith Quill,Female
,,,,,,,,,:45,,,,,14:00,,,,4:00,,,1:00,,,,,,Groot II,Male
,,,,,,,,,:45,,,,,,,,,,,,,,,,,,Denaarian Saal,Male
,,,,,,,,,,,,,,,,,,,,,:15,,,,,,Edwin Jarvis,Male
,,,,,,,,,,,,,,,,,,,,,,,,,,1:00,Daredevil,Male
,,,,,,,,,,17:00,,,,,,,,,,,,,,,,,Ultron,Male
,,,,,,,,,,6:15,,7:15,,,,,,10:00,,,,,,,,,Vision,Male
,,,,,,,,,,3:45,,,,,,,,,,,:45,,,,,,Laura Barton,Female
,,,,,,,,,,3:15,,,,,,,,,,,,,,,,,Dr. Helen Cho,Female
,,,,,,,,,,3:00,,,,,,,,:45,,,:15,,,,,,Maria Hill,Female
,,,,,,,,,,3:00,,,,,,,,1:00,,,:15,:30,,,,,Nick Fury,Male
,,,,,,,,,,2:45,,,,,,,7:15,,,,,,,,,,Ulysses Klauë,Male
,,,,,,,,,,,50:30:00,5:30,,,,,,,42:30:00,,13:15,,,,,,Scott Lang,Male
,,,,,,,,,,,14:30,,,,,,,,,,,,,,,,Darren Cross,Male
,,,,,,,,,,,,2:45,,,,,,1:00,,,:15,,,,,,Secretary Thaddeus Ross,Male
,,,,,,,,,,,24:45:00,,,,,,,,23:45,,:30,,,,,,Dr. Hank Pym,Male
,,,,,,,,,,,15:45,,,,,,,,35:00:00,,1:15,,,,,,Hope van Dyne,Female
,,,,,,,,,,,7:00,,,,,,,,8:30,,,,,,,,Luis,Male
,,,,,,,,,,,4:30,,,,,,,,7:00,,1:00,,,,,,Cassie Lang,Female
,,,,,,,,,,,4:30,,,,,,,,1:30,,,,,,,,Officer Jim Paxton,Male
,,,,,,,,,,,2:45,,,,,,,,2:15,,,,,,,,Dave,Male
,,,,,,,,,,,2:45,,,,,,,,2:15,,,,,,,,Kurt,Male
,,,,,,,,,,,2:15,,,,,,,,1:45,,,,,,,,Maggie Lang,Female
,,,,,,,,,,,2:15,,,,,,,,,,,,,,,,Mitchell Carson,Male
,,,,,,,,,,,1:00,,,,,,,,,,,,,,,,Gale,Male
,,,,,,,,,,,:30,,,,,,,,9:15,,:15,,,,,,Janet van Dyne,Female
,,,,,,,,,,,,11:30,,,,,,,,,,,,,,,Black Panther,Male
,,,,,,,,,,,,10:30,,,,,,,,,,,,,,,Helmut Zemo,Male
,,,,,,,,,,,,5:00,,,,,,,,,,,,,,,Sharon Carter,Female
,,,,,,,,,,,,2:15,,,,,,,,,,,,,,,Maria Stark,Female
,,,,,,,,,,,,1:30,,,,,5:00,,,,,,,,,,King T'Chaka,Male
,,,,,,,,,,,,1:15,,,,,,,,,,,,,,,Everett Ross,Male
,,,,,,,,,,,,1:00,,,4:00,,,,,,:15,3:30,,,,9:30,May Parker,Female
,,,,,,,,,,,,:30,,,,,2:15,:15,,,,,,,,,Ayo,Female
,,,,,,,,,,,,,73:30:00,,,3:00,,11:15,,,1:15,,,,,12:30,Doctor Strange,Male
,,,,,,,,,,,,,17:45,,,,,,,,,,,,,,Karl Mordo,Male
,,,,,,,,,,,,,17:15,,,,,,,,3:30,,,,,,The Ancient One,Female
,,,,,,,,,,,,,12:45,,,,,,,,,,,,,,Kaecilius,Male
,,,,,,,,,,,,,12:45,,,,,,,,,,,,,,Dr. Christine Palmer,Female
,,,,,,,,,,,,,7:00,,,,,3:30,,,:45,,,2:00,,:45,Wong,Male
,,,,,,,,,,,,,3:45,,,,,,,,,,,,,,Lucian,Male
,,,,,,,,,,,,,2:45,,,,,,,,,,,,,,Jonathan Pangborn,Male
,,,,,,,,,,,,,2:00,,,,,,,,,,,,,,Dormammu,Male
,,,,,,,,,,,,,1:30,,,,,,,,,,,,,,Dr. Nicodemus West,Male
,,,,,,,,,,,,,,17:00,,,,,,,,,,,,,Ego,Male
,,,,,,,,,,,,,,11:00,,,,5:45,,,:45,,,,,,Mantis,Female
,,,,,,,,,,,,,,4:15,,,,,,,,,,,,,Taserface,Male
,,,,,,,,,,,,,,3:30,,,,,,,,,,,,,Ayesha,Female
,,,,,,,,,,,,,,1:30,,,,,,,,,,,,,Stakar Ogord,Male
,,,,,,,,,,,,,,1:00,,,,,,,,,,,,,Martinex T'Naga,Male
,,,,,,,,,,,,,,:15,,,,,,,,,,,,,Aleta Ogord,Female
,,,,,,,,,,,,,,:15,,,,,,,,,,,,,Charlie-27,Male
,,,,,,,,,,,,,,x:00,,,,,,,,,,,,,Mainframe,Male
,,,,,,,,,,,,,,x:00,,,,,,,,,,,,,Krugarr,Male
,,,,,,,,,,,,,,,19:00,,,,,,,,,,,,Vulture,Male
,,,,,,,,,,,,,,,13:45,,,:15,,,:15,14:30,,,,18:30,Ned Leeds,Male
,,,,,,,,,,,,,,,9:45,,,,,,,,,,,,Liz Toomes,Female
,,,,,,,,,,,,,,,4:30,,,,,,,,,,,,The Shocker,Male
,,,,,,,,,,,,,,,3:45,,,,,,,,,,,,Tinkerer,Male
,,,,,,,,,,,,,,,2:45,,,,,,,19:30,,,,,Michelle Jones,Female
,,,,,,,,,,,,,,,2:30,,,,,,,,,,,,Aaron Davis,Male
,,,,,,,,,,,,,,,2:30,,,,,,,,,,,,The Shocker,Male
,,,,,,,,,,,,,,,2:15,,,,,,,5:45,,,,:45,Flash Thompson,Male
,,,,,,,,,,,,,,,1:15,,,,,,,,,,,,Mac Gargan,Male
,,,,,,,,,,,,,,,1:15,,,,,,,9:15,,,,:15,Betty Brant,Female
,,,,,,,,,,,,,,,1:00,,,,,,,,,,,,Ann Marie Hoag,Female
,,,,,,,,,,,,,,,1:00,,,,,,,:45,,,,,Jason Ionello,Male
